date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:44:01	663/663	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2026%20Aug%202024%2004:43:58%20GMT	https://wordpress.iqonic.design/robots.txt		(from )
10:44:02	379239/379239	---MCZ	200	added ('OK')	text/html	date:Mon,%2026%20Aug%202024%2004:43:59%20GMT	https://wordpress.iqonic.design/product/wp/talkie/	D:/chatbot/talkie/wordpress.iqonic.design/product/wp/talkie/index.html	(from )
10:44:02	1217/1217	---M--	200	added ('OK')	image/png	etag:%224c1-65701f8b-e0aa15;;;%22	https://wordpress.iqonic.design/product/wp/talkie/wp-content/uploads/2019/10/cropped-footerlogo-2-32x32.png	D:/chatbot/talkie/wordpress.iqonic.design/product/wp/talkie/wp-content/uploads/2019/10/cropped-footerlogo-2-32x32.png	(from https://wordpress.iqonic.design/product/wp/talkie/)
10:44:03	11282/11282	---M--	200	added ('OK')	image/png	etag:%222c12-65701f8b-e0a9ff;;;%22	https://wordpress.iqonic.design/product/wp/talkie/wp-content/uploads/2019/10/cropped-footerlogo-2-192x192.png	D:/chatbot/talkie/wordpress.iqonic.design/product/wp/talkie/wp-content/uploads/2019/10/cropped-footerlogo-2-192x192.png	(from https://wordpress.iqonic.design/product/wp/talkie/)
10:44:03	21191/21191	---M--	200	added ('OK')	image/png	etag:%2252c7-65701f8b-e0aa33;;;%22	https://wordpress.iqonic.design/product/wp/talkie/wp-content/uploads/2019/10/cropped-footerlogo-2-180x180.png	D:/chatbot/talkie/wordpress.iqonic.design/product/wp/talkie/wp-content/uploads/2019/10/cropped-footerlogo-2-180x180.png	(from https://wordpress.iqonic.design/product/wp/talkie/)
10:44:03	45109/45109	---M--	200	added ('OK')	image/png	etag:%22b035-65701f8b-e0aa01;;;%22	https://wordpress.iqonic.design/product/wp/talkie/wp-content/uploads/2019/10/cropped-footerlogo-2-270x270.png	D:/chatbot/talkie/wordpress.iqonic.design/product/wp/talkie/wp-content/uploads/2019/10/cropped-footerlogo-2-270x270.png	(from https://wordpress.iqonic.design/product/wp/talkie/)
10:44:03	10806/10806	---M-Z	200	added ('OK')	image/x-icon	etag:%222a36-66964a7a-10fb07b;gz%22	https://wordpress.iqonic.design/product/wp/talkie/wp-content/themes/talkie-theme/assets/images/favicon.ico	D:/chatbot/talkie/wordpress.iqonic.design/product/wp/talkie/wp-content/themes/talkie-theme/assets/images/favicon.ico	(from https://wordpress.iqonic.design/product/wp/talkie/)
10:44:04	153496/153496	---M-Z	200	added ('OK')	text/css	etag:%2225798-66964a7a-10fb04e;gz%22	https://wordpress.iqonic.design/product/wp/talkie/wp-content/themes/talkie-theme/assets/css/vendor/bootstrap.min.css?ver=2.0.7	D:/chatbot/talkie/wordpress.iqonic.design/product/wp/talkie/wp-content/themes/talkie-theme/assets/css/vendor/bootstrap.min5d0a.css	(from https://wordpress.iqonic.design/product/wp/talkie/)
10:44:04	93729/93729	---M-Z	200	added ('OK')	text/css	etag:%2216e21-66964a7a-10fb04b;gz%22	https://wordpress.iqonic.design/product/wp/talkie/wp-content/themes/talkie-theme/assets/css/vendor/bootstrap-font/bootstrap-icons.css?ver=2.0.7	D:/chatbot/talkie/wordpress.iqonic.design/product/wp/talkie/wp-content/themes/talkie-theme/assets/css/vendor/bootstrap-font/bootstrap-icons5d0a.css	(from https://wordpress.iqonic.design/product/wp/talkie/)
10:44:04	103009/103009	---M-Z	200	added ('OK')	text/css	etag:%2219261-66964a7a-10fb050;gz%22	https://wordpress.iqonic.design/product/wp/talkie/wp-content/themes/talkie-theme/assets/css/vendor/font-awesome/css/all.min.css?ver=2.0.7	D:/chatbot/talkie/wordpress.iqonic.design/product/wp/talkie/wp-content/themes/talkie-theme/assets/css/vendor/font-awesome/css/all.min5d0a.css	(from https://wordpress.iqonic.design/product/wp/talkie/)
